the_geom,objectid,id,name,stacked,annoline1,annoline3,cartodb_id,annoline4,annoline2a,angle,created_at,updated_at,borough
0101000020E610000080C585A7147852C0D2AE50BF816D4440,6,9,Bronx Park,2,Bronx,,6,,Park,0,2014-10-23,2014-10-23,Bronx
0101000020E6100000D55D95B0E47852C0F80C4801B7724440,1,90,Van Cortlandt Park,3,Van,Park,1,,Cortlandt,0,2014-10-23,2014-10-23,Bronx
0101000020E6100000166E6321C97752C0F1CA0D92E7714440,2,95,Woodlawn Cemetery,2,Woodlawn,,2,,Cemetery,0,2014-10-23,2014-10-23,Bronx
0101000020E6100000D8B3054FAC7552C06ADA8D1388714440,3,81,Seton Falls Park,3,Seton,Park,3,,Falls,0,2014-10-23,2014-10-23,Bronx
0101000020E6100000F4A58ACDD37352C0E2A49BD461704440,4,69,Pelham Bay Park,3,Pelham,Park,4,,Bay,0,2014-10-23,2014-10-23,Bronx
0101000020E61000006AB8BF31367852C04834A371A56E4440,5,8,Botanical Garden,2,Botanical,,5,,Garden,0,2014-10-23,2014-10-23,Bronx
0101000020E610000092E0C99E757552C06E4A4F2962694440,7,78,Saint  Raymond's Cemetery,3,St.,Cemetery,7,,Raymond's,0,2014-10-23,2014-10-23,Bronx
0101000020E6100000CDCA5004BB7152C082E751EC71654440,57,35,Fort Totten,2,Fort,,57,,Totten,0,2014-10-23,2014-10-23,Queens
0101000020E61000001607FA5A4D7552C0408E64673C684440,8,27,Ferry Point Park,3,Ferry,Park,8,,Point,0,2014-10-23,2014-10-23,Bronx
0101000020E61000003D5623AFD17752C033298F7A60684440,9,84,Sound View Park,3,Sound,Park,9,,View,0,2014-10-23,2014-10-23,Bronx
0101000020E61000007AD5D00D3B7952C0FCA58D33536B4440,10,21,Crotona Park,2,Crotona,,10,,Park,0,2014-10-23,2014-10-23,Bronx
0101000020E610000019FF6DE4037852C09D31143AAC6C4440,11,96,Zoo/Wildlife Conser. Park,3,Zoo/Wildlife,Park,11,,Conser.,0,2014-10-23,2014-10-23,Bronx
0101000020E6100000E287DEB3437152C063FBFD86F96C4440,12,42,Hart Island,2,Hart,,12,,Island,0,2014-10-23,2014-10-23,Bronx
0101000020E61000008B630C3F5A7A52C01E840471DE674440,13,79,Saint Mary's Park,3,St.,Park,13,,Mary's,0,2014-10-23,2014-10-23,Bronx
0101000020E610000039BEF08B467B52C0BB37FB07A46F4440,14,45,Inwood Hill Park,2,Inwood,,14,,Hill Park,0,2014-10-23,2014-10-23,Manhattan
0101000020E61000001EFE324BA47B52C0513A4D7B766E4440,15,36,Fort Tryon Park,3,Fort,Park,15,,Tryon,0,2014-10-23,2014-10-23,Manhattan
0101000020E61000005255302E7F7852C018293D9E5F654440,16,74,Rikers Island,2,Rikers,,16,,Island,0,2014-10-23,2014-10-23,Queens
0101000020E610000061C967E0547C52C0957957C3D7664440,17,57,Marcus Garvey Park,3,Marcus,Park,17,,Garvey,0,2014-10-23,2014-10-23,Manhattan
0101000020E6100000972AC91FFD7A52C019EB2D88E0654440,18,72,Randall's Island Park,3,Randall's,Park,18,,Island,0,2014-10-23,2014-10-23,Manhattan
0101000020E61000003D4D39B1847B52C0B9D7C26D63644440,19,91,Ward's Island Park,3,Wards,Park,19,,Island,0,2014-10-23,2014-10-23,Manhattan
0101000020E6100000C382C34ECD7D52C04BDCA77635644440,20,15,Central Park,2,Central,,20,,Park,0,2014-10-23,2014-10-23,Manhattan
0101000020E6100000EE2CD67BD77E52C0FD3FABCE4F624440,21,18,Columbus Circle,2,Columbus,,21,,Circle,0,2014-10-23,2014-10-23,Manhattan
0101000020E6100000E61CA3B5D57E52C05F6491D706614440,22,88,Times Square,2,Times,,22,,Square,0,2014-10-23,2014-10-23,Manhattan
0101000020E61000003C02CF7B3C7F52C00C88CCCCFF5E4440,23,56,Madison Square,2,Madison,,23,,Square,0,2014-10-23,2014-10-23,Manhattan
0101000020E6100000435D3763627F52C0E9929AED335E4440,24,89,Union Square,2,Union,,24,,Square,0,2014-10-23,2014-10-23,Manhattan
0101000020E6100000F01FDB492D8152C05F356EC43E584440,25,39,Governors Island,2,Governors,,25,,Island,41,2014-10-23,2014-10-23,Manhattan
0101000020E6100000C5DD2843ED7C52C0AC710671465C4440,26,59,McCarren Park,2,McCarren,,26,,Park,0,2014-10-23,2014-10-23,Brooklyn
0101000020E61000000A453239277B52C0750D71EE6D634440,27,3,Astoria Park,2,Astoria,,27,,Park,0,2014-10-23,2014-10-23,Queens
0101000020E6100000641D58FDD47D52C0B90FFB7EC0554440,28,7,Botanic Garden,2,Botanic,,28,,Garden,0,2014-10-23,2014-10-23,Brooklyn
0101000020E6100000DF4DF783057E52C0EDB4E1DDA3544440,29,71,Prospect Park,2,Prospect,,29,,Park,0,2014-10-23,2014-10-23,Brooklyn
0101000020E610000023BB9163637F52C04C25EB4576534440,30,41,Greenwood Cemetery,2,Greenwood,,30,,Cemetery,0,2014-10-23,2014-10-23,Brooklyn
0101000020E6100000ADC9DA6D027C52C0F146DD57CC524440,31,44,Holy Cross Cemetery,2,Holy Cross,,31,,Cemetery,0,2014-10-23,2014-10-23,Brooklyn
0101000020E61000004CB51D58308152C08ED1ECD3D9534440,32,11,Bush Terminal,2,Bush,,32,,Terminal,0,2014-10-23,2014-10-23,Brooklyn
0101000020E61000001F4BBF57118252C0F965C62CEA514440,33,68,Owls Head Park,3,Owls,Park,33,,Head,0,2014-10-23,2014-10-23,Brooklyn
0101000020E6100000208694B7D78152C0493E62AABE4D4440,34,32,Fort Hamilton,2,Fort,,34,,Hamilton,0,2014-10-23,2014-10-23,Brooklyn
0101000020E6100000B8BFE47C408152C060341774444E4440,35,25,Dyker Beach Park,3,Dyker,Park,35,,Beach,0,2014-10-23,2014-10-23,Brooklyn
0101000020E6100000906B817A6D7E52C01D03CB6F634F4440,36,92,Washington Cemetery,2,Washington,,36,,Cemetery,0,2014-10-23,2014-10-23,Brooklyn
0101000020E610000015AC253A247B52C0541E61F93A4D4440,37,58,Marine Park,2,Marine,,37,,Park,0,2014-10-23,2014-10-23,Brooklyn
0101000020E610000005B09053F77852C0F78093B3AF4B4440,38,28,Floyd Bennett Field,3,Floyd,Field,38,,Bennett,0,2014-10-23,2014-10-23,Brooklyn
0101000020E610000013DE079B7A7952C0C38728ED0F504440,39,14,Canarsie Beach Park,3,Canarsie,Park,39,,Beach,0,2014-10-23,2014-10-23,Brooklyn
0101000020E6100000F5AA89EF287552C0AE79B7760A564440,40,2,Aqueduct Race Track,3,Aqueduct,Track,40,,Race,0,2014-10-23,2014-10-23,Queens
0101000020E6100000A5CC2533B87652C0DDFC9C57B1564440,41,5,Bayside Cemetery,2,Bayside,,41,,Cemetery,0,2014-10-23,2014-10-23,Queens
0101000020E610000012CF100A277052C0B1B772BA71534440,42,10,Brookville Park,2,Brookville,,42,,Park,0,2014-10-23,2014-10-23,Queens
0101000020E6100000090BF7D45C7252C0A0966C0B2D564440,43,4,Baisley Pond Park,3,Baisley,Park,43,,Pond,0,2014-10-23,2014-10-23,Queens
0101000020E6100000B90761D8687152C0376543740D584440,44,76,Roy Wilkins Park,3,Roy,Park,44,,Wilkins,0,2014-10-23,2014-10-23,Queens
0101000020E61000008A029A5F227652C0F8FEAA6B0F5A4440,45,30,Forest Park,1,Park,,45,,,0,2014-10-23,2014-10-23,Queens
0101000020E61000007814B4B4127852C03396D65511594440,46,23,Cypress Hills Cemetery,2,Cypress Hills,,46,,Cemetery,0,2014-10-23,2014-10-23,Queens
